text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,is_retweet,is_quote_status
"Some spammer has been flooding my email with the exact same 'Viagra / Cialis / Levitra' spam non-stop for three days.

You'd think that stuff was breakfast cereal with all the spam I've gotten about it.",en,Greater Vancouver Area,,,,MarkSweeney,Sat Oct 31 16:09:07 +0000 2020,0,1,0,0,FALSE
"@ZannSuz @therealstufff @DavidCornDC You're advertising it, Lady.  Advertising it like a BlackFriday Walmart doorcrasher. Advertised like knock-off Cialis on an AMradio spewfest. If you advertised your obtuse inanity any louder it would have to be from a blimp &amp;FWIW God DGAF about you good, or Megachurch-hypocrite.",en,Montreal,,,,LeeSchnaiberg,Wed Oct 28 11:55:56 +0000 2020,0,0,0,0,FALSE
#ED #ErectileDysfunction #ShockwaveTherapy #Shockwave #Viagra #Cialis #AvertTheHurt #ChangeTheGame #Peyronie #PelvicPain #Impotence #Ottawa #EDOttawa,und,Ottawa,,,,FocuswaveClinic,Tue Oct 27 13:36:53 +0000 2020,0,0,0,0,FALSE
@smartdan51 @KrayT1to Last I heard the Cialis didn't clear him of the year long suspension he served.,en,"Oshawa, Ontario",,,,yasherz,Tue Oct 27 00:28:40 +0000 2020,0,1,0,0,FALSE
"@siasatpk @kashmalamna Many Congratulation, your Cialis is due to me. Meanwhile, try some desi Totkay.",en,Canada,,,,KashifHai,Mon Oct 26 17:53:46 +0000 2020,0,0,0,0,FALSE
@Mike_Pence @realDonaldTrump Maybe in January your wife’s ex husband can get you a job in the Cialis factory.,en,Canada,,,,BrendaJeanCDN,Sun Oct 25 23:35:15 +0000 2020,0,0,0,0,FALSE
"Slept with so many older men, call me Cialis In Wonderland",en,"Vancouver, British Columbia",,,,cuchulaain,Sun Oct 25 01:42:38 +0000 2020,0,0,0,1,FALSE
Especially on Cialis and Viagra. Big hello to my medicalDr. friends from around the world.,en,HALIFAX,,,,CLOUDOFLARGE,Fri Oct 23 11:22:19 +0000 2020,0,0,0,0,FALSE
Tonights football game is brought to you by the makers of cialis and viagra... someone's got to get one up,en,"Surrey, BC",,,,FubarMMA,Fri Oct 23 00:06:29 +0000 2020,0,0,0,0,FALSE
@BigJMcC @MaryPCampbell May need some link Cialis! (Was just a joke link) ;),en,"Cape Breton, Nova Scotia",,,,joewardpr,Thu Oct 22 17:00:24 +0000 2020,0,0,0,0,FALSE
"And for women to help their sex drive! Men get Viagra, Cialis etc and women are left with what? Our sex lives don't matter? https://t.co/8X7Tr2W9uj",en,"Calgary, Alberta",,,,Buffbabe3,Thu Oct 22 16:03:28 +0000 2020,0,5,0,0,TRUE
@sconniehabsfan @PardonMyRatio this segment was sponsored by Cialis.,en,Canada,,,,EhMarchand,Thu Oct 22 14:09:20 +0000 2020,0,1,0,0,FALSE
#ABadTimeToTakeViagra is right after you took Cialis - you are humping on everything including Zoom calls,en,"Vancouver, British Columbia",,,,SUBlimelySQuare,Thu Oct 22 03:22:59 +0000 2020,0,0,0,0,FALSE
"Even with his Cialis, a Whimp Noodle. Who's surprised, lol. https://t.co/jSRWMNn8tz",en,"Mississauga, Ontario",,,,Stand2Canada1,Wed Oct 21 03:20:32 +0000 2020,0,0,0,1,TRUE
First question for Jr is at 2:19 by my clock. Will he last? Did he take his Cialis?,en,"Alberta, Canada",,,,kathy19090674,Wed Oct 21 00:35:17 +0000 2020,0,0,0,1,FALSE
"Even with his Cialis, a Whimp Noodle. Who's surprised, lol. https://t.co/jSRWMNn8tz",en,"Alberta, Canada",,,,kathy19090674,Tue Oct 20 23:12:22 +0000 2020,0,0,0,1,TRUE
First question for Jr is at 2:19 by my clock. Will he last? Did he take his Cialis?,en,"Saskatchewan, Canada",,,,Boo15733919,Tue Oct 20 21:59:54 +0000 2020,0,0,0,1,FALSE
"Even with his Cialis, a Whimp Noodle. Who's surprised, lol. https://t.co/jSRWMNn8tz",en,"Calgary, Alberta",,,,wghodge,Tue Oct 20 19:59:24 +0000 2020,0,0,0,1,TRUE
"Even with his Cialis, a Whimp Noodle. Who's surprised, lol. https://t.co/jSRWMNn8tz",en,"Sault Ste  Marie, Ontario ",,,,Alberta_Rose63,Tue Oct 20 19:23:02 +0000 2020,0,0,0,1,TRUE
First question for Jr is at 2:19 by my clock. Will he last? Did he take his Cialis?,en,"Sault Ste  Marie, Ontario ",,,,Alberta_Rose63,Tue Oct 20 18:53:38 +0000 2020,0,0,0,1,FALSE
The Cialis commercial told me to ask my doctor if I'm healthy enough for sex. My doctor said that I’m definitely healthy enough for sex...just not good looking enough. 🙄,en," British Columbia, Canada",,,,jimbo_bc,Tue Oct 20 06:15:47 +0000 2020,0,0,0,1,FALSE
"@Puretedudragon 😂😂😂faut le rescaper Cialis ou viagra, il va peut etre changer d'idee? Qui sait?",fr,Quebec,,,,ghislainedagena,Mon Oct 19 04:10:08 +0000 2020,0,1,0,0,FALSE
"Naturally, I still get a hard on. Horney goat weed helps. Cialis or Viagra could probably help, but I generally don’t want to be on drugs. I know some people need to, for their conditions, but I prefer no drugs if possible.",en,Montreal,,,,TooRelaxedBT,Mon Oct 19 03:12:02 +0000 2020,0,0,0,0,FALSE
@ElusiveFred Adderall and Cialis...keeps me young.,en,Ontario,,,,MATDADDY2,Sat Oct 17 22:54:59 +0000 2020,0,0,0,0,FALSE
"@HighTimes1235 @Aurelius_Music @SilentN73204929 @ShadowofArms Says the guy with a prescription for both Cialis and Viagra. 
Stay in your lane, if you don't like firearms, don't buy or be around them but have the decency to stfu about things you know nothing about.",en,"Ontario, Canada",,,,RuthlessVandal,Sat Oct 17 21:08:46 +0000 2020,0,0,0,0,FALSE
"@MysterySolvent Here’s a fun fact:  Mother was married to John Steven Whitaker, a doctor who was involved in the development of erectile dysfunction drug, Cialis.

https://t.co/N36AeLbmNZ",en,"Toronto, Ontario",,,,xixxioux,Thu Oct 15 01:56:15 +0000 2020,0,0,0,1,FALSE
@Ellie_ze @crapules Ouin mais y'en vendent pas de Cialis sur Amazon... oh wait mon erreur 😉✌🏻,fr,"Mont-Tremblant, QUÉBEC",,,,TalkyWalker,Thu Oct 15 01:41:44 +0000 2020,0,0,0,0,FALSE
"@bourney20 Who needs Cialis when you can throw this video on for inspiration. 

Full mast over here.",en,Canada,,,,ballard_curse,Thu Oct 15 01:06:07 +0000 2020,0,0,0,0,FALSE
"Cock and muscle workout with my cock pump and selfmade tight cock Ring 🍌🍌🍌

I need a cashslave for more kinky experiments (e. g. taking cialis and milk myself with a venus 2000 for hours - how long can a man be milked?) 💵⚗️
@rt4dom @RTfaggot @RTtruealpha @RT4Cash #vacuum https://t.co/XA7VilqBiY",en,Quebec,,,,AdamLov46556102,Wed Oct 14 22:13:11 +0000 2020,0,0,0,1,FALSE
@MysterySolvent @RobTricoli I hear that husband #1 was one of the creators of cialis.  Ouch,en,"Smith-Ennismore-Lakefield, Ontario",,,,gottogonowbusy,Wed Oct 14 20:27:41 +0000 2020,0,0,0,0,FALSE
@ninablacked @CuckoldWanna Ok I’m going to need some monsters and a box of viagra and Cialis stat 👨‍⚕️,en,sw ontario,,,,BusyfarmerW,Wed Oct 14 17:17:09 +0000 2020,0,0,0,0,FALSE
@MysterySolvent I can’t confirm but someone said he invented Cialis!  🤣🤣,en,Alberta,,,,Debp197,Wed Oct 14 16:39:38 +0000 2020,0,0,0,1,FALSE
@MysterySolvent The Cialis co- creator is her ex-husband.,en,"Toronto, Ontario",,,,RemyMirage,Wed Oct 14 14:23:08 +0000 2020,0,0,0,0,FALSE
Qu’est-ce qui pousse les hommes âgés à utiliser le Viagra ou le Cialis? La professeure Isabelle Wallach de l’UQAM en a rencontré plusieurs! https://t.co/8ZeUW5Gagr,fr,"Montréal, Québec",,,,CommuniquesUQAM,Tue Oct 13 17:11:01 +0000 2020,0,0,0,0,FALSE
"Watching #WWERaw on American TV last night, I had my heros @DougFlutie and #FrankThomas telling me to do testosterone. Frank said that the ladies will love it. I think there’s cialis in it.",en,Montreal,,,,franchiseqc,Tue Oct 13 11:54:40 +0000 2020,0,1,0,0,FALSE
"Oh no. He’s taking Cialis now, too. https://t.co/Wm2JMTBzz5",en,London Ontario,,,,wozman24,Tue Oct 13 01:18:19 +0000 2020,0,0,0,1,TRUE
I took a Cialis with a 5-Hour Energy.  Now I have an hour to kill.,en,canada,,,,LeftySheridan,Tue Oct 13 00:54:06 +0000 2020,0,0,0,1,FALSE
"Oh no. He’s taking Cialis now, too. https://t.co/Wm2JMTBzz5",en,"Ottawa, Ontario",,,,Markmyster1055,Tue Oct 13 00:01:40 +0000 2020,0,0,0,1,TRUE
"Oh no. He’s taking Cialis now, too. https://t.co/Wm2JMTBzz5",en,Toronto 🇨🇦🇷🇴,,,,JstSpknMyMnd,Mon Oct 12 23:51:41 +0000 2020,0,0,0,1,TRUE
@TheRickWilson Daddy's Cialis,en,"Mission, British Columbia",,,,RodneyGibson604,Mon Oct 12 04:04:36 +0000 2020,0,1,0,0,FALSE
@DementedMinx veterinary cialis  😂😂😂 https://t.co/dw6rPhEokY,lt,OTTAWA CANADA,,,,DAVET800,Sun Oct 11 21:10:29 +0000 2020,0,0,0,0,FALSE
"@duarteelauraa 2 kids from Ontario in one day
*Boomers OD on Cialis",en,"Fort St, John BC",,,,OriginalTammy,Sat Oct 10 02:23:38 +0000 2020,0,0,0,0,FALSE
@A_Rosie_Life Cialis,en,Canada,,,,JRKerslake,Fri Oct 09 22:15:29 +0000 2020,0,0,0,0,FALSE
Anyways this viagra cialis mixture I took last night is still in full effect 🥵,en,Montreal,,,,Jo_3Y,Fri Oct 09 20:06:24 +0000 2020,0,0,0,0,FALSE
"@cmc435 'Spanish Fly'    .....part of mother's arsenal of Cialis, leather outfits, stilletos, cuffs and pool boys",en,"Ontario, Canada",,,,ccmclem,Thu Oct 08 21:18:47 +0000 2020,0,0,0,0,FALSE
"@primetimeJoey To be fair, his wife's ex-husband and invented Cialis.",en,Canada,,,,sakuzmum,Thu Oct 08 14:25:44 +0000 2020,0,0,0,1,FALSE
Once daily Cialis yo https://t.co/Vxaow7WvKJ,en,Alberta ,,,,Judith_FeyJude,Thu Oct 08 12:45:14 +0000 2020,0,0,0,1,TRUE
And the timeline is informing me that Mother Pence's first husband oversaw the development of Cialis. Tough break. Take that however you will. https://t.co/krH3tC2efm,en,Caledon- Ontario- Canada,,,,chuck4219,Thu Oct 08 03:13:15 +0000 2020,0,0,0,1,FALSE
Even funnier in the context of Mother Pence's first husband being on the team of scientists who invented CIALIS. #VPDebate 🤣🤣🤣 https://t.co/mxvHRkSIfa,en,"Mississauga, Toronto",,,,arjun_singh111,Thu Oct 08 02:56:14 +0000 2020,0,0,0,1,TRUE
@SugarmanSharna Fun fact: Mother's first husband was involved in creating cialis.  I guess she really likes flacid men 😂😂,en,Montreal,,,,tinsbabe,Thu Oct 08 02:51:17 +0000 2020,0,0,0,0,FALSE
Being on cialis once a day means you get random boners throughout the day. https://t.co/pYCfXnvmBk,en,"Scarborough, Ontario",,,,JennySw33t,Wed Oct 07 21:09:12 +0000 2020,0,0,0,1,FALSE
And the timeline is informing me that Mother Pence's first husband oversaw the development of Cialis. Tough break. Take that however you will. https://t.co/krH3tC2efm,en,"Comox Valley, British Columbia",,,,ChrisAikman2,Wed Oct 07 16:49:21 +0000 2020,0,0,0,1,FALSE
"@Only4RM Did I say Adultery? I meant Hypocrisy.

Factoid: Karen's 1st husband created erectile-dysfunction drug Cialis!

1978–1983:   Karen marries high-school sweetheart
1983:             Dates Pence 9 mnths
Aug 1984:     Engaged 
June 1985:    Married (Catholic)
https://t.co/kKzeoiH3d5",en,Canada,,,,RedTail3dHawk,Wed Oct 07 16:26:56 +0000 2020,0,0,0,1,FALSE
