text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,is_retweet,is_quote_status
"Some spammer has been flooding my email with the exact same 'Viagra / Cialis / Levitra' spam non-stop for three days.

You'd think that stuff was breakfast cereal with all the spam I've gotten about it.",en,Greater Vancouver Area,,,,MarkSweeney,Sat Oct 31 16:09:07 +0000 2020,0,1,0,0,FALSE
"endangered sea turtles, oysters, sea cucumbers, seal's penis &amp; testicles, and bile derived from sun bear, which suffers a long, cruel, slow &amp; agonizing death.  The only light at the end of this very dark tunnel, has been the introduction of Viagra, Cialis, &amp; Levitra. This has put",en,Canada,,,,Peter87214766,Fri Sep 04 17:49:19 +0000 2020,0,1,0,0,FALSE
"@SenTedCruz @US_FDA BONER PILL DEATHS IN THE U.S.

Viagra — 1,824 deaths
Cialis — 236 deaths
Levitra — 121 deaths

HOW UNSAFE?

2,500 — nonfatal heart attacks

25,000 — mini-strokes, vision &amp; hearing loss

26,451 — Adverse Events

https://t.co/xN0wuxzh5W https://t.co/1iSCnXH6vh",en,Canada,,,,RedTail3dHawk,Thu Sep 03 16:31:46 +0000 2020,0,0,0,1,FALSE
"$gysn,they are in the erection business https://t.co/4JfIekV7ki on line.https://t.co/cKDhDEwjHY",en,Toronto,,,,1973FordTorino,Mon Aug 10 18:42:28 +0000 2020,0,0,0,1,FALSE
@MedCrisis Levitra. Le is the French masculine and vitra adapted from vita which is Latin for life. An ED drug is named essentially “masculine life”,en,"Nova Scotia, Canada",,,,gingerlove71,Thu Aug 06 00:04:14 +0000 2020,0,0,0,0,FALSE
"Some are common and mild—others are rare and potentially serious. Read more about the side effects of ED medication and what you can do about them. 
#UpGuys #MensHealth #ED 

https://t.co/d28EuSfOh5",en,Canada,,,,upguyshealth,Sat Jul 11 18:14:00 +0000 2020,0,0,0,0,FALSE
"Some are common and mild—others are rare and potentially serious. Read more about the side effects of ED medication and what you can do about them. 
#UpGuys #MensHealth #ED 

https://t.co/d28EuSfOh5",en,Canada,,,,upguyshealth,Thu Jul 02 17:26:00 +0000 2020,0,0,0,0,FALSE
"Viagra and Cialis seem to get the headlines, but what about Levitra? We look at some of the differences between sildenafil, tadalafil and vardenafil. #UPGUYS #MensHealth #Viagra 
#UPGUYS #MensHealth #ED 
https://t.co/9ZFPcCrRXS",en,Canada,,,,upguyshealth,Sun Jun 28 16:56:01 +0000 2020,0,0,0,0,FALSE
"Holy products, lawsuits!  
https://t.co/3kx0I8GrAS
Viagra, Levitra, Cialis Melanoma Skin Cancer Class Action Lawsuit Investigation 
https://t.co/eKx6VhS7ut",en,Canada,,,,hirmana,Mon Jun 22 20:40:14 +0000 2020,0,0,0,0,FALSE
"Viagra and Cialis seem to get the headlines, but what about Levitra? We look at some of the differences between sildenafil, tadalafil and vardenafil. #UPGUYS #MensHealth #Viagra 
#UPGUYS #MensHealth #ED 
https://t.co/9ZFPcCJsPq",en,Canada,,,,upguyshealth,Thu Jun 11 22:26:00 +0000 2020,0,0,0,0,FALSE
"@skw3324 Hi Sheila,
 Just remember to let the users and their significant others that grapefruit totally counteracts the effects of viagra, levitra and cialis :)",en,"Ottawa, Canada",,,,sischka,Thu Mar 26 17:48:15 +0000 2020,0,0,0,0,FALSE
